genre_pair,genre_a,genre_b,movie_count,rating_count,pair_avg,pair_median,pair_rating_std,single_a_avg,single_b_avg,gain_vs_best_single,gain_vs_single_mean
Children + Comedy,Children,Comedy,518,910990,3.378439938967497,3.5,1.0987517709031762,3.4081137685270444,3.4260113054324886,-0.047571366464991716,-0.03862259801226964
Children + Fantasy,Children,Fantasy,308,716865,3.4582982848932504,3.5,1.063504784458399,3.4081137685270444,3.5059453358738244,-0.04764705098057398,0.0012687326928162435
Children + Romance,Children,Romance,69,205366,3.4907263130216295,3.5,1.04945999950983,3.4081137685270444,3.541802581902903,-0.05107626888127337,0.01576813780665587
Action + Drama,Action,Drama,1177,1384011,3.6173220444057166,4.0,1.017676848465732,3.44386376493354,3.6742955093068264,-0.05697346490110977,0.05824240728553365
Animation + Musical,Animation,Musical,111,391939,3.557503846261791,4.0,1.0074327133486558,3.6174939235897994,3.558090628821412,-0.05999007732800843,-0.03028842994381442
Drama + Film-Noir,Drama,Film-Noir,229,79643,3.9000163228406763,4.0,0.9122827067625952,3.6742955093068264,3.96538126070082,-0.06536493786014352,0.08017793783685301
Crime + Romance,Crime,Romance,237,151250,3.6072462809917356,4.0,0.9755856383769702,3.6745276025631113,3.541802581902903,-0.06728132157137567,-0.0009188112412714666
Documentary + Drama,Documentary,Drama,115,18800,3.669468085106383,4.0,0.910325034672261,3.7397176834178865,3.6742955093068264,-0.07024959831150346,-0.03753851125597363
Drama + Sci-Fi,Drama,Sci-Fi,348,658213,3.6020277630493474,4.0,1.0094783973610995,3.6742955093068264,3.4367726714455005,-0.072267746257479,0.04649367267318416
Action + Thriller,Action,Thriller,1100,2567302,3.4285974147178635,3.5,1.0232540476157024,3.44386376493354,3.50711121809216,-0.07851380337429648,-0.04689007679498669
Drama + Thriller,Drama,Thriller,1842,1992172,3.593350373361336,4.0,0.9924064648435557,3.6742955093068264,3.50711121809216,-0.08094513594549024,0.0026470096618429473
Romance + Thriller,Romance,Thriller,258,445303,3.4534418137762377,3.5,1.0395689576833251,3.541802581902903,3.50711121809216,-0.08836076812666516,-0.07101508622129371
Action + Romance,Action,Romance,262,488638,3.446410225975057,3.5,1.0435354537329709,3.44386376493354,3.541802581902903,-0.09539235592784578,-0.04642294744316411
Action + Horror,Action,Horror,268,310863,3.3457149934215393,3.5,1.0987483523144024,3.44386376493354,3.2772238097518307,-0.09814877151200063,-0.014828793921145778
Adventure + Thriller,Adventure,Thriller,300,1021840,3.4035191419400297,3.5,1.006335212174271,3.5018926565473865,3.50711121809216,-0.10359207615213029,-0.10098279537974353
Children + Sci-Fi,Children,Sci-Fi,77,145102,3.3201437609405797,3.5,1.141913853592975,3.4081137685270444,3.4367726714455005,-0.11662891050492075,-0.10229945904569249
Adventure + War,Adventure,War,166,140701,3.6895437843369985,4.0,0.9804324242704773,3.5018926565473865,3.8095307347384844,-0.11998695040148588,0.03383208869406307
Drama + Musical,Drama,Musical,328,261335,3.5482426770237434,4.0,1.0567671616646233,3.6742955093068264,3.558090628821412,-0.12605283228308295,-0.06795039204037545
Action + War,Action,War,295,420177,3.6806845686460705,4.0,1.0214626906801725,3.44386376493354,3.8095307347384844,-0.12884616609241384,0.05398731881005814
IMAX + Sci-Fi,IMAX,Sci-Fi,63,188214,3.5233988970002232,3.5,1.0220753380347236,3.655945983272606,3.4367726714455005,-0.13254708627238276,-0.02296043035883022
Comedy + Crime,Comedy,Crime,679,936634,3.5419635631420596,4.0,1.0622940084549763,3.4260113054324886,3.6745276025631113,-0.13256403942105166,-0.008305890855740294
Action + Mystery,Action,Mystery,137,298615,3.5294241749409774,3.5,0.9827194013782328,3.44386376493354,3.663508921312903,-0.1340847463719257,-0.024262168182243915
Comedy + Sci-Fi,Comedy,Sci-Fi,313,582044,3.2945876944011108,3.5,1.0900629068182452,3.4260113054324886,3.4367726714455005,-0.1421849770443897,-0.13680429403788352
Children + Drama,Children,Drama,212,330138,3.528695575789518,4.0,1.0539028979079106,3.4081137685270444,3.6742955093068264,-0.14559993351730816,-0.012509063127417175
Action + Fantasy,Action,Fantasy,320,513775,3.3582531263685467,3.5,1.1227719325016285,3.44386376493354,3.5059453358738244,-0.14769220950527773,-0.11665142403513551
Action + Comedy,Action,Comedy,711,1096024,3.292683371896966,3.5,1.0585170800302588,3.44386376493354,3.4260113054324886,-0.15118039303657405,-0.14225416328604812
Romance + Sci-Fi,Romance,Sci-Fi,97,136745,3.3889173278730484,3.5,1.1094163659517242,3.541802581902903,3.4367726714455005,-0.15288525402985442,-0.100370298801153
Thriller + War,Thriller,War,99,91200,3.649786184210526,4.0,0.9246677381029075,3.50711121809216,3.8095307347384844,-0.15974455052795822,-0.008534792204796027
Horror + Sci-Fi,Horror,Sci-Fi,448,376750,3.272313205043132,3.5,1.1245107331758504,3.2772238097518307,3.4367726714455005,-0.16445946640236864,-0.08468503555553353
Fantasy + Horror,Fantasy,Horror,187,167227,3.3255485059230865,3.5,1.0550538687747626,3.5059453358738244,3.2772238097518307,-0.1803968299507379,-0.06603606688974084
Action + Crime,Action,Crime,759,1250614,3.478627298271089,3.5,1.0132326084527872,3.44386376493354,3.6745276025631113,-0.1959003042920222,-0.08056838547723633
Horror + Romance,Horror,Romance,72,42461,3.3441628788770874,3.5,1.0161939575854166,3.2772238097518307,3.541802581902903,-0.19763970302581546,-0.06535031695027937
Comedy + Documentary,Comedy,Documentary,122,31480,3.539517153748412,4.0,1.0404833336217445,3.4260113054324886,3.7397176834178865,-0.20020052966947466,-0.043347340676775925
Fantasy + Mystery,Fantasy,Mystery,118,121805,3.4615533024095893,3.5,1.0151756211521914,3.5059453358738244,3.663508921312903,-0.20195561890331382,-0.12317382618377426
Crime + Sci-Fi,Crime,Sci-Fi,51,148835,3.4668491954177445,3.5,1.0761966806261682,3.6745276025631113,3.4367726714455005,-0.20767840714536678,-0.08880094158656116
Adventure + Mystery,Adventure,Mystery,75,142936,3.4511214809425197,3.5,1.0384087114864198,3.5018926565473865,3.663508921312903,-0.21238744037038337,-0.13157930798762507
Fantasy + Thriller,Fantasy,Thriller,128,201303,3.2801796297124235,3.5,1.073176511846232,3.5059453358738244,3.50711121809216,-0.22693158837973648,-0.22634864727056891
Drama + Horror,Drama,Horror,448,290547,3.4369637270389988,3.5,1.0494049344493817,3.6742955093068264,3.2772238097518307,-0.23733178226782758,-0.038795932490329754
Comedy + Mystery,Comedy,Mystery,225,142937,3.41104822404276,3.5,1.0675906362651173,3.4260113054324886,3.663508921312903,-0.2524606972701431,-0.13371188932993583
Adventure + Crime,Adventure,Crime,141,191810,3.41994682237631,3.5,1.0383548586405102,3.5018926565473865,3.6745276025631113,-0.2545807801868012,-0.16826330717893878
Comedy + Horror,Comedy,Horror,392,271584,3.157546099917521,3.0,1.130135614806982,3.4260113054324886,3.2772238097518307,-0.26846520551496766,-0.19407145767463874
Horror + Thriller,Horror,Thriller,1065,768690,3.234612132329027,3.5,1.1202962259182883,3.2772238097518307,3.50711121809216,-0.27249908576313286,-0.15755538159296822
Horror + Mystery,Horror,Mystery,388,268025,3.3640518608338774,3.5,1.0915936279839231,3.2772238097518307,3.663508921312903,-0.29945706047902565,-0.10631450469848946
Fantasy + Sci-Fi,Fantasy,Sci-Fi,187,174182,3.1863280936032425,3.0,1.1357670903079018,3.5059453358738244,3.4367726714455005,-0.31961724227058186,-0.2850309100564199
Action + Children,Action,Children,102,110491,3.1111900516784172,3.0,1.2059403028089173,3.44386376493354,3.4081137685270444,-0.33267371325512274,-0.31479871505187473
Comedy + Western,Comedy,Western,134,114629,3.175767039754338,3.0,1.0471620516334477,3.4260113054324886,3.5704980246109406,-0.3947309848566025,-0.3224876252673763

