tag,user_application_count,tagged_movie_count,user_tag_user_count,genome_tag_id,matched_movie_count,mean_genome_relevance
reflective,350,103,181,845,99.0,0.7938282828282828
long,350,198,162,611,162.0,0.6836203703703704
french,349,192,152,411,32.0,0.8892265625
surrealism,349,39,246,996,33.0,0.8157348484848485
national film registry,349,292,23,,,
directorial debut,348,218,85,305,194.0,0.498069587628866
children,338,143,181,204,117.0,0.8110213675213676
dvd-r,337,333,7,,,
george clooney,336,29,207,,,
death,335,148,167,292,114.0,0.7776688596491228
controversial,335,99,151,253,83.0,0.7425813253012048
based on a play,334,208,81,109,148.0,0.879652027027027
easily confused with other movie(s) (title),333,224,77,339,164.0,0.14891920731707314
love story,332,102,213,614,92.0,0.7998097826086956
adultery,332,160,102,28,133.0,0.6349285714285714
western,329,93,171,1107,69.0,0.8225072463768116
in netflix queue,329,304,24,,,
noir thriller,327,32,111,712,29.0,0.8967155172413793
paris,327,94,161,769,10.0,0.8926000000000001
apocalypse,327,44,194,70,37.0,0.8471689189189189
france,326,194,120,405,11.0,0.7868181818181817
keanu reeves,324,41,189,,,
gritty,323,118,137,475,110.0,0.6509068181818182
vhs,322,306,23,,,
futuristic,321,38,193,420,36.0,0.9250277777777778
woody allen,321,53,150,,,
cult classic,319,65,150,275,56.0,0.9055669642857144
rock and roll,318,128,127,862,77.0,0.9127597402597403
memory,317,44,180,642,43.0,0.7670872093023255
too long,316,123,218,1032,112.0,0.3301160714285714
virtual reality,315,24,184,1087,21.0,0.9254761904761905
alfred hitchcock,315,37,127,,,
post apocalyptic,311,39,182,802,10.0,0.8348000000000001
post apocalyptic,311,39,182,803,10.0,0.82995
queer,311,137,80,828,94.0,0.6618776595744681
supernatural,310,83,124,991,71.0,0.8165845070422535
can't remember,310,273,29,,,
netflix,310,299,21,,,
dark humor,306,74,181,289,64.0,0.90557421875
cute,306,134,171,278,117.0,0.6814529914529915
terrorism,305,88,162,1022,64.0,0.68600390625
ending,305,162,164,,,
hallucinatory,304,65,138,487,59.0,0.687478813559322
nudity (rear),303,161,94,729,31.0,0.4809435483870968
bechdel test:pass,303,201,61,,,
visually stunning,302,70,190,1092,64.0,0.8759375
low budget,302,97,195,616,60.0,0.6265458333333334
will smith,302,22,185,,,
perrot library,301,299,3,,,
clearplay,300,284,14,,,
intense,296,88,186,553,79.0,0.704756329113924
journalism,296,90,144,582,68.0,0.622952205882353
bibliothek,295,287,9,,,
netflix finland,295,272,2,,,
short,293,170,80,916,57.0,0.5443464912280701
philip seymour hoffman,293,38,161,,,
cliche,292,138,158,,,
1980s,291,99,122,9,92.0,0.5966385869565217
sad,291,140,195,871,124.0,0.535383064516129
memasa's movies,288,288,1,,,
oscar (best actor),288,70,122,,,
fantasy world,285,58,159,378,48.0,0.9117760416666667
on dvr,284,284,2,,,
plot twist,283,55,191,789,48.0,0.779765625
cars,283,88,112,185,72.0,0.7579340277777777
torture,282,92,143,1034,75.0,0.7238833333333333
special effects,281,120,147,951,56.0,0.82665625
hayao miyazaki,278,15,130,,,
feel-good,277,69,168,388,63.0,0.767797619047619
mel gibson,277,38,148,,,
fun,276,166,154,414,143.0,0.6863863636363636
bleak,275,126,97,143,113.0,0.8584579646017699
realistic,274,124,172,840,112.0,0.551890625
boxing,272,55,130,159,42.0,0.6958452380952381
russell crowe,271,31,159,,,
holocaust,267,50,166,515,17.0,0.8349117647058824
melancholy,267,75,136,641,70.0,0.7846607142857144
homosexuality,267,84,134,518,57.0,0.5938421052631578
unrealistic,267,113,152,1063,105.0,0.5056357142857143
cheesy,267,136,173,198,115.0,0.33361521739130434
will ferrell,266,28,151,,,
treasure,265,26,71,1043,24.0,0.8784791666666667
cgi,265,100,129,193,69.0,0.7080688405797101
epic,264,94,166,359,77.0,0.7617694805194806
cynical,264,94,124,282,89.0,0.7519129213483146
cerebral,263,64,124,192,64.0,0.852
michael caine,263,44,142,,,
sean connery,263,37,128,,,
space travel,262,39,149,945,33.0,0.8317954545454546
mockumentary,262,48,167,659,35.0,0.7716785714285714
film noir,262,75,169,393,48.0,0.7661770833333333
vietnam war,262,40,151,1080,4.0,0.69075
pirates,261,39,131,784,27.0,0.8716296296296296
intelligent,261,57,176,551,53.0,0.5436415094339623
movie business,261,148,59,674,75.0,0.3664866666666667
teen movie,260,44,102,1014,19.0,0.9365394736842106
dreams,259,56,174,326,48.0,0.8031458333333333
philip k. dick,259,12,133,,,
dance,258,85,126,283,54.0,0.807
bob*ola,257,257,1,,,
steampunk,256,35,135,966,29.0,0.5994310344827586
storytelling,255,37,132,972,32.0,0.9041015625
batman,255,26,153,117,8.0,0.87628125
gary oldman,255,37,126,,,
africa,253,109,108,34,10.0,0.831425
adam sandler,253,26,143,,,
business,252,128,85,173,86.0,0.7056918604651163
bad science,252,68,140,101,59.0,0.6047118644067796
jude law,252,36,145,,,
insanity,250,71,145,547,56.0,0.8057767857142857
kidnapping,250,115,109,587,88.0,0.675434659090909
london,249,106,104,608,11.0,0.8352045454545455
existentialism,249,48,159,368,43.0,0.7821453488372093
car chase,249,65,146,183,57.0,0.7570701754385964
enigmatic,248,68,112,351,67.0,0.9014552238805971
denzel washington,246,28,165,,,
shakespeare,245,64,108,912,15.0,0.7934166666666667
star trek,241,20,128,964,3.0,0.7254166666666667
angelina jolie,241,25,130,,,
made for tv,241,188,48,,,
gangsters,240,79,127,424,68.0,0.9342536764705882
spielberg,240,26,61,954,19.0,0.9253026315789473
poignant,240,113,95,791,105.0,0.7304714285714285
seen at the cinema,240,201,22,,,
anthony hopkins,239,33,164,,,
ewan mcgregor,239,31,145,,,
adapted from:comic,238,76,86,23,69.0,0.8011304347826087
arnold,236,17,53,74,16.0,0.9760625
british comedy,236,43,157,165,33.0,0.8562575757575758
crude humor,236,56,129,272,52.0,0.7200240384615384
not funny,234,127,118,719,111.0,0.29025900900900903
romantic,233,79,150,864,75.0,0.7998966666666667
computers,233,36,145,246,25.0,0.7219599999999999
beautifully filmed,232,36,174,122,31.0,0.7489112903225806
cannibalism,231,43,148,180,33.0,0.7255681818181818
irreverent,231,98,67,566,94.0,0.47162765957446806
based on a comic,230,41,136,108,38.0,0.8893881578947369
mentor,229,23,97,646,20.0,0.963675
humor,229,92,151,528,78.0,0.6751826923076923
plot holes,228,86,147,788,76.0,0.7113092105263158
imagination,227,34,162,535,30.0,0.88745
neo-noir,227,38,99,700,33.0,0.8374772727272727
alien invasion,226,43,132,44,33.0,0.8635227272727273
claustrophobic,226,74,105,218,67.0,0.74225
suspenseful,225,39,111,1000,36.0,0.8175625
divx,225,223,5,,,
own,224,204,18,,,
no_fa_ganes,223,223,1,,,
scary,222,95,127,882,83.0,0.8458734939759036
male nudity,222,111,82,625,83.0,0.7665030120481928
plot,222,111,136,787,97.0,0.6388067010309278
zooey deschanel,222,25,114,,,
oscar (best actress),221,75,80,747,1.0,0.951
vampire,221,55,125,1067,49.0,0.9394132653061225
sword fight,220,52,119,1005,39.0,0.8297564102564103
visceral,219,95,73,1089,92.0,0.7644429347826087
anti-hero,219,59,133,67,54.0,0.6945462962962963
liam neeson,219,37,132,,,
owned,219,203,21,,,
simon pegg,217,18,127,,,
hugh jackman,216,20,120,,,
sandra bullock,216,30,124,,,
kung fu,215,69,118,592,51.0,0.9718333333333333
mathematics,215,22,154,636,14.0,0.752
keira knightley,215,22,127,,,
excellent script,214,20,107,365,19.0,0.8925394736842105
dysfunctional family,213,62,112,335,54.0,0.7154398148148148
artistic,212,42,172,79,35.0,0.7265285714285714
joseph gordon-levitt,212,20,121,,,
oscar (best supporting actor),212,66,64,,,
super-hero,211,37,104,988,37.0,0.8004054054054054
super-hero,211,37,104,987,37.0,0.7722702702702702
monster,211,89,86,663,50.0,0.7105800000000001
ben stiller,211,26,127,,,
powerful ending,210,18,151,806,17.0,0.8123970588235294
dogs,210,86,100,317,72.0,0.6002152777777777
science,209,82,111,888,45.0,0.6665666666666666
prostitution,209,90,90,819,59.0,0.584271186440678
dark hero,208,24,87,288,17.0,0.9728823529411765
nicole kidman,208,31,136,,,
heath ledger,207,15,165,,,
genetics,206,18,142,429,17.0,0.8230882352941177
addiction,206,59,116,25,50.0,0.705025
jesus,204,28,76,579,18.0,0.9397916666666668
romantic comedy,204,76,117,865,66.0,0.8963219696969696
stranded,204,20,82,973,19.0,0.8886578947368421
bad plot,204,87,106,100,80.0,0.5972562499999999
uma thurman,204,31,121,,,
slasher,203,88,47,927,61.0,0.9427991803278689
nostalgic,203,86,115,717,77.0,0.6519480519480519
sentimental,202,59,134,900,54.0,0.6235324074074073
nature,202,84,103,695,54.0,0.5337638888888888
masterpiece,201,37,82,634,34.0,0.9232573529411765
sylvester stallone,201,41,70,,,
los angeles,200,95,78,612,10.0,0.8109249999999999
new york,200,73,100,704,17.0,0.7173088235294118
jack black,200,27,127,,,
john cusack,200,32,138,,,
owen wilson,200,29,119,,,
police corruption,199,74,90,796,61.0,0.7469713114754098
claymation,199,29,102,219,24.0,0.6994895833333333
characters,199,147,84,,,
jason statham,199,29,102,,,
seen,199,197,6,,,
monty python,198,7,120,665,4.0,0.97625
star wars,198,19,99,965,5.0,0.7171000000000001
dustin hoffman,198,33,130,,,
wes anderson,198,9,117,,,
big budget,197,83,79,132,83.0,0.9084789156626506
disability,197,78,84,306,60.0,0.7259458333333334
06/11,197,197,2,,,
afi 100,197,103,28,,,
india,196,61,114,541,7.0,0.6317857142857142
deadpan,196,64,77,291,62.0,0.5709032258064516
slow paced,196,100,138,930,77.0,0.4559610389610389
meditative,195,74,91,639,69.0,0.8583913043478261
trains,195,82,78,1039,65.0,0.46368461538461536
conspiracy theory,194,30,93,252,26.0,0.8906153846153846
dancing,194,31,72,284,25.0,0.7782899999999999
btaege,194,193,2,,,
kevin smith,194,16,93,,,
meryl streep,194,35,133,,,
vigilante,193,49,108,1082,44.0,0.9090454545454545
spoof,192,62,112,958,55.0,0.8283590909090909
amnesia,192,46,102,57,34.0,0.7203088235294118
jodie foster,191,24,133,,,
seth rogen,191,20,114,,,
animated,190,72,99,63,47.0,0.8662340425531915
1960s,190,86,73,7,73.0,0.5638698630136987
notable soundtrack,190,23,141,721,23.0,0.4789130434782609
understated,190,97,71,1055,89.0,0.3852078651685393
steve carell,190,24,115,,,
middle east,189,62,86,649,9.0,0.7591944444444444
detective,188,40,94,300,30.0,0.7733833333333333
brutal,188,66,102,168,59.0,0.7491440677966101
samurai,187,44,107,873,31.0,0.8740241935483871
courtroom,187,69,76,262,60.0,0.7978458333333334
cold war,186,46,117,226,23.0,0.8254782608695652
college,186,75,79,227,52.0,0.7705240384615385
beautiful scenery,186,35,148,121,29.0,0.7375172413793103
propaganda,186,62,105,818,44.0,0.718096590909091
david lynch,186,13,110,,,
biopic,185,81,74,135,67.0,0.8037089552238806
disappointing,185,70,139,307,65.0,0.28322692307692304
writers,184,93,67,1123,71.0,0.7979577464788733
akira kurosawa,184,33,77,,,
john malkovich,184,42,107,,,
pregnancy,183,74,101,808,52.0,0.6034423076923077
sex,183,78,123,905,60.0,0.5992999999999999
1970s,183,86,85,8,69.0,0.5466413043478261
ridley scott,183,22,102,,,
julia roberts,182,30,125,,,
interesting,181,102,98,554,64.0,0.73451953125
19th century,181,73,81,10,50.0,0.60822
underrated,181,105,103,1054,50.0,0.31207499999999994
china,180,83,76,205,16.0,0.888328125
medieval,180,31,116,638,29.0,0.8626896551724138
animals,179,70,94,62,56.0,0.8509866071428572
3d,179,48,121,11,13.0,0.6528461538461539
bad ending,178,84,114,99,73.0,0.5801883561643836
peter jackson,178,16,99,,,
ryan gosling,178,16,110,,,
erotic,177,59,93,360,47.0,0.8685478723404255
quotable,177,75,84,830,52.0,0.778485576923077
03/11,177,177,1,,,
political,176,55,125,798,43.0,0.7388255813953488
jackie chan,176,41,75,,,
screwball comedy,175,28,74,894,19.0,0.9566578947368422
cia,175,49,86,211,19.0,0.6999868421052632
script,175,150,41,895,132.0,0.5844810606060606
01/11,175,174,2,,,
05/11,175,175,1,,,
not available from netflix,175,148,20,,,
ridiculous,174,78,122,852,64.0,0.48462109375
christopher nolan,174,11,110,,,
redbox,173,164,7,,,
siblings,172,106,48,,,
terry gilliam,172,15,106,,,
based on book,171,79,90,113,73.0,0.8326849315068493
hugh grant,171,18,94,,,
australia,170,81,78,87,7.0,0.7413214285714286
scenic,170,49,111,883,46.0,0.7251413043478262
11/10,170,170,2,,,
ben affleck,170,26,105,,,
good dialogue,169,23,132,448,21.0,0.5294523809523809
stand-up comedy,168,63,67,963,34.0,0.9384264705882354
dramatic,168,40,81,324,27.0,0.869638888888889
prison escape,168,30,124,814,26.0,0.8472307692307692
happy ending,168,62,100,490,57.0,0.7622017543859649
lyrical,168,85,60,618,83.0,0.49792168674698795
02/11,168,168,1,,,
mark wahlberg,168,28,104,,,
twists & turns,167,38,124,1051,35.0,0.9039428571428572
alan rickman,167,27,90,,,
androids,165,30,91,60,25.0,0.8055
unique,164,63,122,1059,57.0,0.3957017543859649
dialogue driven,163,51,101,303,42.0,0.6530297619047619
remade,163,113,26,848,104.0,0.2278293269230769
dinosaurs,162,29,112,304,17.0,0.8325
sweet,162,86,86,1003,75.0,0.7267766666666666
spaghetti western,162,23,97,946,16.0,0.6498125
cameron diaz,162,23,108,,,
emma stone,162,12,108,,,
kirsten dunst,162,23,99,,,
original plot,161,35,110,743,35.0,0.7157
father daughter relationship,161,69,90,383,62.0,0.5499717741935484
christopher walken,161,45,86,,,
eric's dvds,161,160,2,,,
sean penn,161,28,105,,,
watched,161,161,1,,,
christian,160,28,74,208,18.0,0.9176666666666667
pg-13,160,114,30,777,1.0,0.88025
obsession,160,48,107,733,36.0,0.8791180555555556
eerie,160,64,63,344,61.0,0.7531270491803279
surprise ending,160,39,108,994,37.0,0.7201148648648649
poverty,160,87,76,805,60.0,0.7102666666666667
roman polanski,160,22,75,,,
women,159,34,66,1116,26.0,0.9125000000000001
11/11,159,159,1,,,
adapted from:play,159,124,26,,,
tommy lee jones,159,36,84,,,
dragons,158,29,89,322,20.0,0.9343625
intellectual,158,30,128,550,27.0,0.8151944444444444
stylish,158,46,86,981,42.0,0.7470476190476191
ominous,158,81,43,739,79.0,0.6935569620253165
anti-war,158,38,98,69,33.0,0.548810606060606
confusing,158,59,113,250,57.0,0.546969298245614
anamorphic blow-up,158,146,8,,,
annemari,158,157,2,,,
deliberate,158,100,22,,,
island,157,76,57,568,49.0,0.8100051020408163
007,156,24,61,1,24.0,0.9996458333333335
depression,156,55,107,297,45.0,0.8480666666666666
food,156,43,83,399,37.0,0.5423513513513514
ellen page,156,13,109,,,
girlie movie,155,54,73,439,54.0,0.8558796296296296
guns,155,76,86,482,69.0,0.6089130434782609
baseball,154,51,75,106,35.0,0.7499071428571428
environmental,154,42,87,358,33.0,0.5452878787878788
aviation,154,55,67,92,38.0,0.48152631578947364
jennifer aniston,154,21,98,,,
stereoscopic 3-d,154,125,23,,,
woody harrelson,154,25,108,,,
redemption,153,69,93,844,55.0,0.7945636363636364
george lucas,153,13,89,,,
childhood,152,67,84,203,50.0,0.88456
spy,152,52,99,960,44.0,0.8726818181818182
paranoid,152,44,73,767,44.0,0.7414545454545455
below r,152,111,25,,,
usa,152,139,21,,,
haunted house,151,52,75,494,35.0,0.8541500000000001
talky,151,86,48,1008,86.0,0.8349098837209302
watch the credits,151,77,44,1100,76.0,0.49640789473684205
jean reno,151,31,92,,,
courtroom drama,150,27,89,263,25.0,0.70711
etaege,150,150,1,,,
jeff bridges,150,25,105,,,
john travolta,150,26,111,,,
mars,149,27,72,630,18.0,0.9614444444444445
afi 100 (laughs),149,95,23,,,
anne hathaway,149,21,106,,,
want to see again,149,104,49,,,
motorcycle,148,78,56,672,62.0,0.684241935483871
child abuse,148,53,77,202,44.0,0.5745340909090909
library vhs,148,147,2,,,
wwii,147,70,82,1126,16.0,0.954203125
brutality,147,34,72,169,31.0,0.9069274193548388
lawyers,147,65,69,598,54.0,0.8003657407407407
absurd,146,56,102,18,44.0,0.7850170454545455
photography,146,72,86,782,63.0,0.6032063492063492
futuristmovies.com,146,136,10,,,
milla jovovich,146,16,88,,,
melancholic,145,19,88,640,17.0,0.967014705882353
time loop,144,16,107,1027,13.0,0.9881153846153846
technology,144,45,92,1012,29.0,0.8626120689655172
wedding,144,56,74,1102,42.0,0.5997321428571428
12/10,144,144,1,,,
charlie kaufman,144,7,88,,,
jake gyllenhaal,144,21,94,,,
computer animation,143,25,100,244,24.0,0.8758645833333333
goofy,143,59,74,455,51.0,0.818735294117647
genius,143,40,102,430,34.0,0.5800588235294118
so bad it's good,143,60,86,934,37.0,0.4379932432432432
stop motion,142,35,93,969,23.0,0.9431304347826087
end of the world,142,26,105,349,18.0,0.8856111111111111
stop motion,142,35,93,970,23.0,0.7978260869565218
television,142,73,47,1019,59.0,0.3987118644067797
1930s,141,61,64,5,54.0,0.8367314814814816
divorce,141,58,77,313,45.0,0.7691833333333333
latin america,141,109,29,,,
football,140,57,82,400,40.0,0.88720625
submarine,140,31,68,983,22.0,0.8466136363636363
