tag,application_count,movie_count,user_count
trains,195,82,78
meditative,195,74,91
btaege,194,193,2
meryl streep,194,35,133
dancing,194,31,72
conspiracy theory,194,30,93
kevin smith,194,16,93
vigilante,193,49,108
spoof,192,62,112
amnesia,192,46,102
jodie foster,191,24,133
seth rogen,191,20,114
understated,190,97,71
1960s,190,86,73
animated,190,72,99
steve carell,190,24,115
notable soundtrack,190,23,141
middle east,189,62,86
brutal,188,66,102
detective,188,40,94
courtroom,187,69,76
samurai,187,44,107
college,186,75,79
propaganda,186,62,105
cold war,186,46,117
beautiful scenery,186,35,148
david lynch,186,13,110
biopic,185,81,74
disappointing,185,70,139
writers,184,93,67
john malkovich,184,42,107
akira kurosawa,184,33,77
1970s,183,86,85
sex,183,78,123
pregnancy,183,74,101
ridley scott,183,22,102
julia roberts,182,30,125
underrated,181,105,103
interesting,181,102,98
19th century,181,73,81
china,180,83,76
medieval,180,31,116
animals,179,70,94
3d,179,48,121
bad ending,178,84,114
peter jackson,178,16,99
ryan gosling,178,16,110
03/11,177,177,1
quotable,177,75,84
erotic,177,59,93
political,176,55,125
jackie chan,176,41,75
05/11,175,175,1
01/11,175,174,2
script,175,150,41
not available from netflix,175,148,20
cia,175,49,86
screwball comedy,175,28,74
ridiculous,174,78,122
christopher nolan,174,11,110
redbox,173,164,7
siblings,172,106,48
terry gilliam,172,15,106
based on book,171,79,90
hugh grant,171,18,94
11/10,170,170,2
australia,170,81,78
scenic,170,49,111
ben affleck,170,26,105
good dialogue,169,23,132
02/11,168,168,1
lyrical,168,85,60
stand-up comedy,168,63,67
happy ending,168,62,100
dramatic,168,40,81
prison escape,168,30,124
mark wahlberg,168,28,104
twists & turns,167,38,124
alan rickman,167,27,90
androids,165,30,91
unique,164,63,122
remade,163,113,26
dialogue driven,163,51,101
sweet,162,86,86
dinosaurs,162,29,112
cameron diaz,162,23,108
kirsten dunst,162,23,99
spaghetti western,162,23,97
emma stone,162,12,108
watched,161,161,1
eric's dvds,161,160,2
father daughter relationship,161,69,90
christopher walken,161,45,86
original plot,161,35,110
sean penn,161,28,105
pg-13,160,114,30
poverty,160,87,76
eerie,160,64,63
obsession,160,48,107
surprise ending,160,39,108
christian,160,28,74
roman polanski,160,22,75
11/11,159,159,1
adapted from:play,159,124,26
tommy lee jones,159,36,84
women,159,34,66
annemari,158,157,2
anamorphic blow-up,158,146,8
deliberate,158,100,22
ominous,158,81,43
confusing,158,59,113
stylish,158,46,86
anti-war,158,38,98
intellectual,158,30,128
dragons,158,29,89
island,157,76,57
depression,156,55,107
food,156,43,83
007,156,24,61
ellen page,156,13,109
guns,155,76,86
girlie movie,155,54,73
stereoscopic 3-d,154,125,23
aviation,154,55,67
baseball,154,51,75
environmental,154,42,87
woody harrelson,154,25,108
jennifer aniston,154,21,98
redemption,153,69,93
george lucas,153,13,89
usa,152,139,21
below r,152,111,25
childhood,152,67,84
spy,152,52,99
paranoid,152,44,73
talky,151,86,48
watch the credits,151,77,44
haunted house,151,52,75
jean reno,151,31,92
etaege,150,150,1
courtroom drama,150,27,89
john travolta,150,26,111
jeff bridges,150,25,105
want to see again,149,104,49
afi 100 (laughs),149,95,23
mars,149,27,72
anne hathaway,149,21,106
library vhs,148,147,2
motorcycle,148,78,56
child abuse,148,53,77
wwii,147,70,82
lawyers,147,65,69
brutality,147,34,72
futuristmovies.com,146,136,10
photography,146,72,86
absurd,146,56,102
milla jovovich,146,16,88
melancholic,145,19,88
12/10,144,144,1
wedding,144,56,74
technology,144,45,92
jake gyllenhaal,144,21,94
time loop,144,16,107
charlie kaufman,144,7,88
so bad it's good,143,60,86
goofy,143,59,74
genius,143,40,102
computer animation,143,25,100
television,142,73,47
stop motion,142,35,93
end of the world,142,26,105
latin america,141,109,29
1930s,141,61,64
divorce,141,58,77
football,140,57,82
incest,140,49,84
submarine,140,31,68
cate blanchett,140,29,87
kate winslet,140,21,98
m. night shyamalan,140,10,79
nudity,139,97,78
germany,139,58,74
sexual,139,53,70
paranoia,139,40,100
hackers,139,28,87
biblical,138,49,71
culture clash,138,49,93
werewolves,138,42,64
assassination,138,38,88
david fincher,138,11,72
fighting,137,62,86
audience intelligence underestimated,137,44,67
jane austen,137,20,68
menacing,136,87,25
oscar (best supporting actress),136,67,32
feel good movie,136,28,96
charlize theron,136,21,100
guy ritchie,136,9,90
alcoholism,135,61,77
gene hackman,135,49,69
video game adaptation,135,33,57
great cinematography,135,32,92
sigourney weaver,135,24,81
video games,135,19,99
south america,134,61,53
not a movie,134,50,65
bollywood,134,48,66
scifi,134,39,96
investigation,134,38,84
zombie,133,34,84
12/11,132,132,1
revolution,132,41,90
hitchcock,132,33,56
immortality,132,20,92
lars von trier,132,18,73
isolation,131,45,85
marriage,130,70,78
tragedy,130,53,93
rebellion,130,42,82
archaeology,130,17,70
good acting,129,76,89
marijuana,129,35,76
splatter,129,28,63
10/10,128,126,4
royalty,128,80,38
1950s,128,64,57
colin farrell,128,29,79
vin diesel,128,16,83
harry potter,128,11,53
bgab lrc,127,127,1
afi 100 (thrills),127,100,13
alter ego,127,53,48
justice,127,46,85
suburbia,127,29,73
pretentious,126,75,75
sexualized violence,126,41,70
kevin costner,126,26,81
robert rodriguez,126,16,60
strong female lead,125,54,68
civil war,125,45,66
alien,125,34,63
dragon,125,29,68
slapstick,124,68,81
las vegas,124,29,81
off-beat comedy,124,23,81
sam rockwell,124,21,74
tarantino,124,12,80
hollywood,123,59,80
great performances,123,39,81
clive owen,123,20,88
helena bonham carter,123,20,76
cross dressing,122,45,54
realism,122,41,89
eddie murphy,122,25,92
fight scenes,122,24,82
wizards,122,21,57
immigrants,121,58,53
ireland,121,45,70
jennifer lawrence,121,10,80
funny as hell,120,56,76
mythology,120,38,82
paul rudd,120,20,75
zach galifianakis,120,18,78
grim,119,46,60
winona ryder,119,22,80
daniel craig,119,19,78
01/12,118,118,1
over the top,118,65,75
italy,118,55,62
spies,118,33,77
heartbreaking,118,29,95
gwyneth paltrow,118,19,79
forceful,117,77,28
virus,117,24,72
catholicism,116,65,49
better than expected,116,53,69
demons,116,50,57
independent film,116,47,85
hitman,116,32,76
bond,116,26,41
amy adams,116,24,83
dark fantasy,116,22,83
mother-son relationship,115,64,52
dystopic future,115,21,84
mila kunis,115,12,80
michael cera,115,8,74
action packed,114,46,69
good versus evil,114,41,72
wry,113,73,28
gambling,113,55,59
self discovery,113,26,92
colin firth,113,25,79
witch,112,53,48
road movie,112,42,74
vietnam,112,29,70
afi 100 (cheers),111,95,8
childish,111,69,48
multiple roles,111,62,41
kaf,110,110,1
disney animated feature,110,61,37
secrets,110,55,52
gruesome,110,47,41
oscar winner,110,43,55
adolescence,110,34,68
joaquin phoenix,110,26,67
best of rotten tomatoes: all time,109,100,9
mexico,109,52,58
drinking,109,50,56
ocean,109,48,55
slavery,109,41,72
strippers,109,41,56
orson welles,109,29,53
jet li,109,27,61
drew barrymore,109,24,74
blindness,108,48,53
biographical,108,46,55
brazil,108,33,62
amazing cinematography,108,31,83
julianne moore,108,31,66
peter sellers,108,21,56
short-term memory loss,108,15,56
afi 100 (movie quotes),107,82,22
golden palm,107,57,29
desert,107,56,51
buddy movie,107,37,59
willem dafoe,107,30,79
matthew mcconaughey,107,22,78
dreamworks,107,21,62
sexy,106,66,66
brothers,106,58,52
strange,106,50,63
con artists,106,33,54
ralph fiennes,106,23,68
schizophrenia,106,21,86
naomi watts,106,19,69
complex characters,105,20,79
ennio morricone,105,19,52
oscar (best effects - visual effects),105,18,72
100 essential female performances,104,89,7
unlikeable characters,104,51,70
bullying,104,44,60
werner herzog,104,30,41
great dialogue,104,29,76
rachel mcadams,104,14,67
guillermo del toro,104,11,56
intimate,103,59,38
compassionate,103,58,36
ghosts/afterlife,103,35,53
steve buscemi,103,26,68
reese witherspoon,103,22,68
ryan reynolds,103,19,67
audrey hepburn,103,15,62
cartoon,102,61,42
art,102,56,73
bad script,102,55,72
oscar (best foreign language film),102,51,49
world war i,102,36,60
scotland,102,28,64
ethan hawke,102,21,81
meg ryan,102,21,59
04/11,101,101,1
pointless,101,65,76
infidelity,101,64,48
twist,101,46,72
undercover cop,101,31,60
jonah hill,101,29,50
nerds,101,27,70
cheerleading,101,25,50
james cameron,101,11,69
indiana jones,101,5,69
my movies,100,99,2
need to own,100,90,7
downbeat,100,69,29
us president,100,49,40
confrontational,100,45,47
werewolf,100,33,46
ingmar bergman,100,31,34
vincent price,100,31,24
boarding school,100,28,50
treasure hunt,100,27,54
thought provoking,100,25,80
james stewart,100,21,57
sergio leone,100,7,52
netflix streaming,99,96,10
blood,99,42,64
mad scientist,99,34,59
fashion,99,30,71
michael douglas,99,23,78
jus+san,98,98,1
teenagers,98,52,62
robert redford,98,26,64
ballet,98,23,56
orlando bloom,98,14,57
tokyo,97,31,61
new zealand,97,27,56
atheism,97,24,67
michael fassbender,97,12,60
literary adaptation,96,50,39
german,96,40,60
bank robbery,96,31,59
disaster,96,23,74
adrien brody,96,16,65
08/10,95,95,1
add to prospects list,95,95,3
san francisco,95,45,50
weak plot,95,38,69
hacking,95,19,71
viggo mortensen,95,16,64
business is the antagonist,94,49,18
aids,94,38,50
physics,94,23,68
superheroes,94,21,46
alternate universe,94,19,66
maggie gyllenhaal,94,14,70
seen 2010,93,90,2
school,93,52,54
2d animation,93,47,27
fast paced,93,38,67
classical music,93,28,52
unlikely friendships,93,26,45
swedish,93,21,67
james franco,93,18,71
kristen stewart,93,17,65
tolkien,93,10,57
03/10,92,92,1
stereotypes,92,61,53
hotel,92,47,33
highly quotable,92,35,50
1920s,92,28,48
cary grant,92,28,47
humphrey bogart,92,23,58
nuclear war,92,23,69
imax digital only,91,88,3
moody,91,57,31
18th century,91,32,43
val kilmer,91,23,71
emma thompson,91,22,65
paul newman,91,22,62
rachel weisz,91,20,61
vince vaughn,91,19,69
mel brooks,91,14,66
aardman,91,10,38
biting,90,66,21
literate,90,56,20
dynamic cgi action,90,50,24
colonialism,90,47,44
homophobia,90,46,45
gangs,90,39,61
spanish,90,35,73
gangster,90,26,63
jim jarmusch,90,11,48
soccer,89,37,55
unintentional comedy,89,31,49
antonio banderas,89,26,65
high fantasy,89,7,56
scary movies to see on halloween,88,64,13
theater,88,56,43
finnish,88,46,38
gay lead character,88,38,40
sci fi,88,33,59
surveillance,88,27,57
cyborgs,88,24,60
daniel day-lewis,88,12,72
gfei own it,87,87,2
sven's to see list,87,87,1
06/10,87,86,2
imax dmr,87,84,3
adaptation,87,52,49
japanese,87,52,55
passionate,87,51,38
broadway,87,48,36
80s,87,46,56
orphans,87,41,46
disease,87,37,44
kevin bacon,87,29,57
marx brothers,87,26,27
halloween,87,23,45
cloning,87,18,63
divx1,86,84,4
earnest,86,62,22
dumb,86,42,72
russian,86,41,51
flashbacks,86,38,63
workplace,86,32,48
super hero,86,24,34
gerard butler,86,21,61
patrick stewart,86,19,48
michael crichton,86,17,38
sacha baron cohen,86,10,58
joss whedon,86,8,65
imax dmr 3-d,85,83,3
spherical blow-up,85,83,3
french film,85,81,10
pg13,85,72,10
italian,85,46,52
spain,85,39,46
unpredictable,85,35,65
steve martin,85,32,63
forest whitaker,85,25,50
stoner movie,85,25,55
psychedelic,85,22,70
oliver stone,85,21,47
bradley cooper,85,18,62
david cronenberg,85,18,44
transgender,85,18,52
voyeurism,85,18,60
beautiful cinematography,85,17,73
bruce campbell,85,17,52
michael moore,85,10,54
05/10,84,84,1
youtube,84,80,5
nostalgia critic,84,72,12
nostalgia,84,52,46
smart,84,46,64
family bonds,84,38,57
pornography,84,38,45
ben kingsley,84,20,62
marlon brando,84,19,57
michael j. fox,84,19,48
amazing photography,83,16,61
seen 2011,82,82,2
product placement,82,52,38
somber,82,52,24
austere,82,51,20
unfunny,82,45,57
jazz,82,40,50
vengeance,82,23,64
afterlife,82,21,54
kurt russell,82,15,54
jason segel,82,13,57
james mcavoy,82,10,54
wired 50 greatest soundtracks,81,50,26
period piece,81,42,48
good romantic comedies,81,26,45
iran,81,26,48
elijah wood,81,21,52
pierce brosnan,81,19,54
christopher lloyd,81,17,52
jennifer connelly,81,17,62
complicated plot,81,14,68
pg,80,63,12
husband-wife relationship,80,55,30
inspiring,80,48,55
underdog,80,46,38
found footage,80,36,39
basketball,80,35,40
indie,80,27,63
jean-claude van damme,80,23,26
john goodman,80,23,60
paranormal,80,22,62
mark ruffalo,80,21,55
poker,80,14,66
01/10,79,79,1
cast,79,61,32
competition,79,49,39
entertaining,79,41,57
character study,79,35,51
aging,79,31,47
effects,79,29,58
toshiro mifune,79,27,27
rome,79,23,58
john cleese,79,20,57
heroine in tight suit,79,18,38
paul giamatti,79,16,63
modern fantasy,79,14,54
teacher,78,56,29
no plot,78,44,65
predictable ending,78,40,53
fbi,78,33,47
argentina,78,32,40
seen 2014,77,77,2
love triangles,77,48,30
noir,77,48,50
cult,77,40,58
chase,77,38,50
fighting the system,77,31,42
kick-butt women,77,23,43
jessica alba,77,17,54
android(s)/cyborg(s),77,16,52
luc besson,77,15,50
ashton kutcher,77,13,59
should like,76,76,1
watched 2006,76,72,5
lavish,76,56,15
john wayne,76,42,28
good soundtrack,76,38,59
bloody,76,33,58
jungle,76,33,38
suicide attempt,76,33,44
racing,76,32,49
farce,76,29,45
iraq war,76,29,45
shaky camera,76,25,49
sherlock holmes,76,24,47
colourful,76,22,52
robert downey jr,76,20,49
parallel universe,76,17,57
sam raimi,76,14,34
emma watson,76,12,50
hannibal lecter,76,5,56
added,75,74,3
communism,75,45,45
private detective,75,29,39
david bowie,75,16,60
muppets,75,14,41
must see,74,49,42
double life,74,47,23
texas,74,45,22
unintentionally funny,74,36,46
capitalism,74,31,49
weak ending,74,26,59
cillian murphy,74,20,32
emily blunt,74,14,57
fewer than 300 ratings,73,72,3
sweeping,73,61,12
edgar award (best motion picture),73,57,4
dull,73,53,44
exceptional acting,73,35,39
crappy sequel,73,27,41
takashi miike,73,27,24
space opera,73,21,41
hugo weaving,73,20,41
ron perlman,73,18,44
john carpenter,73,16,41
slackers,73,16,38
benicio del toro,73,14,62
mike myers,73,11,51
scope,72,68,6
betrayal,72,45,46
russia,72,44,36
affectionate,72,38,26
australian,72,36,44
cats,72,34,33
psychiatry,72,29,48
complex,72,25,60
berlin,72,23,53
drug abuse,72,22,50
mountain climbing,72,22,49
instant view,71,71,4
light,71,64,21
kaiju,71,57,10
rousing,71,56,14
ninja,71,35,29
writing,71,29,60
richard gere,71,22,60
bdsm,71,19,42
takeshi kitano,71,19,34
chris evans,71,17,35
mickey rourke,71,16,51
midlife crisis,71,16,57
camp,70,41,46
family relationships,70,36,48
character development,70,35,56
don cheadle,70,27,43
ed harris,70,27,44
abortion,70,25,51
steven soderbergh,70,24,28
fascism,70,23,52
billy bob thornton,70,17,53
christoph waltz,70,6,53
want,69,69,2
hong kong,69,40,38
native americans,69,40,32
brother-brother relationship,69,35,42
chicago,69,34,34
historically inaccurate,69,31,51
blaxploitation,69,26,29
caper,69,25,42
francis ford coppola,69,23,31
john hughes,69,12,40
gene wilder,69,7,59
my dvds,68,60,9
book,68,59,16
tv,68,59,19
feminism,68,38,50
twins,68,35,30
south africa,68,34,39
notable nudity,68,28,51
explosions,68,27,53
bisexual,68,25,43
devil,68,25,44
geeks,68,21,55
autism,68,14,57
hulu,67,60,8
very good,67,54,23
moving,67,44,48
book was better,67,38,45
singing,67,36,49
bizarre,67,35,50
natural disaster,67,33,34
fritz lang,67,30,22
swashbuckler,67,27,27
heroin,67,18,42
realistic action,67,18,41
tilda swinton,67,17,50
tobey maguire,67,11,48
neil patrick harris,67,8,49
imdb bottom 100,66,59,8
money,66,38,40
wistful,66,33,26
monsters,66,31,45
train,66,29,32
greed,66,28,53
visuals,66,27,49
wilderness,66,23,49
silent movie,66,22,48
first contact,66,18,34
oscar (best music - original song),66,18,41
spying,66,18,56
beatles,66,17,44
jason bateman,66,15,50
jennifer garner,66,13,42
vistavision,65,61,5
awesome,65,47,44
islam,65,39,31
1990s,65,35,34
charming,65,35,37
casino,65,20,47
michael bay,65,11,38
alone in the world,65,9,54
foreign,64,44,45
sad ending,64,43,45
fanciful,64,40,16
wrongly accused,64,40,22
books,64,35,34
internet,64,26,43
dc comics,64,25,21
bible,64,17,52
jeff goldblum,64,13,44
daniel radcliffe,64,12,36
giant robots,64,9,50
09/10,63,63,1
harsh,63,37,25
funniest movies,63,32,36
god,63,32,40
new orleans,63,31,32
music business,63,28,49
morality,63,27,53
afghanistan,63,26,40
iraq,63,24,36
mutants,63,24,41
american civil war,63,22,34
innocence lost,63,22,32
alaska,63,21,44
not as good as the first,63,21,47
stylized violence,63,17,44
catherine zeta-jones,63,15,43
michel gondry,63,10,44
chan-wook park,63,8,35
rated-r,62,47,17
cancer,62,33,48
gay romance,62,30,27
meta,62,26,42
robbery,62,26,40
experimental,62,24,51
mental hospital,62,23,45
brendan fraser,62,18,46
matthew broderick,62,18,46
genocide,62,16,49
imaginary friend,62,16,39
life & death,62,16,51
halle berry,62,15,47
con men,62,13,36
audrey tautou,62,12,42
christopher guest,62,12,32
12/09,61,60,2
get,61,58,6
ummarti2006,61,58,4
teens,61,39,32
b-movie,61,33,35
foreign language,61,29,39
inventor,61,29,22
greg kinnear,61,27,30
007 (series),61,24,25
visual,61,23,37
birds,61,21,34
brian de palma,61,21,26
tim roth,61,21,38
race issues,61,20,50
tim robbins,61,18,48
vigilantism,61,15,46
steve mcqueen,61,13,39
catastrophe,61,12,51
miyazaki,61,10,36
handycam,61,9,54
alternate history,61,6,52
darren aronofsky,61,6,47
jesse eisenberg,61,5,47
j netflix,60,60,1
seen 2013,60,59,2
old,60,44,35
lgbt,60,37,29
madcap,60,37,16
possession,60,33,32
irish,60,30,47
hostage,60,29,37
guilty pleasure,60,27,42
danny devito,60,26,42
jean-luc godard,60,26,16
costume drama,60,25,39
ian mckellen,60,25,31
oscar (best music - original score),60,23,37
switching places,60,20,37
christina ricci,60,16,46
space program,60,14,42
moon,60,13,44
paul thomas anderson,60,7,35
seen 2012,59,59,2
avi,59,56,6
100 greatest movies,59,52,7
movielens top pick,59,49,12
death/fatality,59,42,21
writer,59,42,31
direction,59,38,29
